아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
밀리라 다이달로스 왕관,Milira Race,제작 가능,태양 용광로,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_DaedalusHelmet
밀리라 대검,Milira Race,제작 가능,태양 용광로,,적 장비 노획,아이템 사용·개봉: 룩스플룸 배열,,WeaponsMelee,Milira_TwoHandSword
밀리라 대낫,Milira Race,제작 가능,태양 용광로,,적 장비 노획,아이템 사용·개봉: 룩스플룸 배열,,WeaponsMelee,Milira_Sickle
밀리라 대학 교복 (A형),Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressA
밀리라 대학 교복 (B형),Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressA_II
밀리라 랜스,Milira Race,제작 가능,태양 용광로,,적 장비 노획,아이템 사용·개봉: 룩스플룸 배열,,WeaponsMelee,Milira_Lance
밀리라 메카노이드 공명 헤드셋,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_SynesthesiaHeadset
밀리라 바람막이,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Shell,Milira_Dustcoat
밀리라 발키리 갑옷,Milira Race,제작 가능,태양 용광로,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ValkyrArmor
밀리라 발키리 투구,Milira Race,제작 가능,태양 용광로,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_ValkyrHelmet
밀리라 사냥꾼 모자,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_HunterCap
밀리라 사냥꾼 옷,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_HunterCloth
밀리라 사냥꾼 코트,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Shell,Milira_HunterCoat
밀리라 선글라스,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 밀리라 선글라스 (머리), 아이템 사용·개봉: 밀리라 안경",,Milira_Apparel_Overhead,Milira_Sunglasses
밀리라 선글라스 (머리),Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_SunglassesII
밀리라 소형 축전지,Milira Race,제작 가능,밀리라 범용 작업대,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_CapacitorI
밀리라 솜털 망토,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Shell,Milira_PlushCape
밀리라 솜털 베레모,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_PlushBeret
밀리라 쌍치도,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsMelee,Milira_PoleBlade
밀리라 아르테미스 갑옷 (강습형),Milira Race,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 밀리라 아르테미스 갑옷 (수호형)",,Milira_Apparel_OnSkin,Milira_ArtemisArmor
밀리라 아르테미스 갑옷 (수호형),Milira Race,제작 가능,태양 용광로,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ArtemisArmorII
밀리라 아르테미스 눈,Milira Race,제작 가능,태양 용광로,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_ArtemisHelmet
밀리라 안경,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 능력·유전자: DL_Hediff_ForceWearAfterDelay_Dellin",,Milira_Apparel_Overhead,Milira_Glasses
밀리라 에너지 응집기,Milira Race,제작 가능,밀리라 범용 작업대,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_ChargeAccumulatorI
밀리라 에너지 응집기 M2,Milira Race,제작 가능,밀리라 범용 작업대,,"궤도 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_ChargeAccumulatorII
밀리라 에너지 응집기 M3,Milira Race,제작 가능,밀리라 범용 작업대,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_ChargeAccumulatorIII
밀리라 여행복,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_PathfinderCloak
밀리라 여행용 식량,Milira Race,제작 가능,"전기 스토브, 스토브, 태양 조리대",,"궤도 상인 구매, 상인 구매","RoyalTitlePermitDef: Milira_ImperiumPermit_LimitedDropMeal, 아이템 사용·개봉: 밀리라 개척자 주머니",,FoodMeals,Milira_TravellerFood
밀리라 여행자 망토,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_Cloak
밀리라 여행자 후드,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_Hood
밀리라 우아한 가운,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressB
밀리라 원자력 축전지,Milira Race,제작 가능,밀리라 범용 작업대,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_CapacitorIII
밀리라 위상 통신 배열 헤드셋,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_PhaseControlMatrix
밀리라 전통복 (A형),Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_BasicDressI
밀리라 전통복 (B형),Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_BasicDressII
밀리라 전통복 (C형),Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_BasicDressIII
밀리라 전투 드론: 섬광탄,Milira Race,제작 가능,밀리라 드론 인쇄기,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_StunImpulseLauncher
밀리라 전투 드론: 소이탄,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_IncendiaryGrenadeLauncher
밀리라 전투 드론: 펄스탄,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_EMPLauncher
밀리라 전투망치,Milira Race,제작 가능,태양 용광로,,적 장비 노획,아이템 사용·개봉: 룩스플룸 배열,,WeaponsMelee,Milira_Hammer
밀리라 차양 모자,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_SunHat
밀리라 창,Milira Race,제작 가능,태양 용광로,,적 장비 노획,아이템 사용·개봉: 룩스플룸 배열,,WeaponsMelee,Milira_Spear
밀리라 초연산팩,Milira Race,제작 가능,밀리라 범용 작업대,,,AlienRace.ThingDef_AlienRace: Milira_Race,,ApparelUtility,Milira_SupercomputingPack
밀리라 캐쥬얼 의상,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressD
밀리라 코르셋 드레스,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressF
밀리라 코르셋 치마,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressE
밀리라 쾌검,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsMelee,Milira_SwiftBlade
밀리라 톱날검,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsMelee,Milira_SawBlade
밀리라 프로토타입 기어: 사이클롭스,Milira Race,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 능력·유전자: Milira_LaunchRocketSwarmInArea",,"Milira_Apparel_ConceptWeaponry, Milira_Apparel_Utility",Milira_ConceptWeaponry_Cyclops
밀리라 하이웨이스트 주름치마,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DelicateDressG
밀리라 함선 축전지,Milira Race,제작 가능,태양 용광로,,,"MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, 설비 기능: ""성가 오르간"" 전자기 저격포, 설비 기능: ""스피닝 바스타드"" 하이브 대공 미사일 포탑, 설비 기능: ""엘레우시스 밀교"" 중화력 보병 지원 플랫폼, 설비 기능: 다연장 로켓 발사기, 설비 기능: 밀리라 공간 파쇄 장치, 설비 기능: 밀리라 다이달로스 신성 봉인, 설비 기능: 밀리라 중형 입자 캐논 포탑, 설비 기능: 밀리라 통합 복합 생산기, 설비 기능: 밀리라 해리어 유도 ",,Manufactured,Milira_StarshipBattery
밀리라 항정신 목걸이,Milira Race,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,"ApparelUtility, Milira_Apparel_Utility",Milira_PsychicDefensePendant
밀리라 확장 축전지,Milira Race,제작 가능,밀리라 범용 작업대,,"궤도 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_CapacitorII
밀리라 휴대용 영광의 신호기,Milira Race,,,,"궤도 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_DropBeaconPack
밀리언 가드 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_GuardArmor
밀리언 가디언 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_GuardianArmor
밀리언 경량 방탄갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_LightArmor
밀리언 고글,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_Goggle
밀리언 깃털 방패,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Utility,Milian_FeatherShapeShield
밀리언 나이트 방패,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Utility,Milian_KnightShield
밀리언 내의,Milira Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_OnSkin,Milian_Lining
밀리언 동력 핵,Milira Race,제작 가능,밀리라 범용 작업대,,,"MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, PLAMilira.SupplyArrowComboDef: PLAMilira_Supply_Combo_Bishop, PLAMilira.SupplyArrowComboDef: PLAMilira_Supply_Combo_Knight, PLAMilira.SupplyArrowComboDef: PLAMilira_Supply_Combo_Pawn, PLAMilira.SupplyArrowComboDef: PLAM",,Manufactured,Milira_MilianReactor
밀리언 레인저 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_RangerArmor
밀리언 룩 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,"AlienRace.ThingDef_AlienRace: Milian_Race, 아이템 사용·개봉: 밀리언 성채 갑옷, 아이템 사용·개봉: 밀리언 스트라이커 갑옷",,Milian_Apparel_Middle,Milian_RookArmor
밀리언 룩 마스크,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,"AlienRace.ThingDef_AlienRace: Milian_Race, 아이템 사용·개봉: 밀리언 스트라이커 투구",,Milian_Apparel_Overhead,Milian_RookMask
밀리언 방탄 망토,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_BishopCloak
밀리언 분석 헤드셋,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_BishopHeadset
밀리언 뿔 달린 왕관,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_KnightHeadsetIII
밀리언 사이클롭스 게이트 방패,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Utility,Milian_RookShield
밀리언 사일런트 헌터 망토,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_SilentHunterCloak
밀리언 사일런트 헌터 후드,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_SilentHunterHood
밀리언 성채 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_CitadelArmor
밀리언 스토커 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_StalkerArmor
밀리언 스트라이커 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_StrikerArmor
밀리언 스트라이커 투구,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_StrikerHelmet
밀리언 스포츠 헤드셋,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_KnightHeadsetII
밀리언 유도 지휘봉,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_PivotScepter
밀리언 의전 지팡이,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_BishopScepter
밀리언 장갑 고글,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_GoggleArmored
밀리언 장거리 입자 저격소총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ParticleLongRangeSniper
밀리언 통신 헤드셋,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_KnightHeadset
밀리언 팔라딘 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_PaladinArmor
밀리언 포트리스 갑옷,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_FortressArmor
밀리언 피벗 망토,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Middle,Milian_PivotCloak
밀리언 피벗 헤드셋,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milian_Race,,Milian_Apparel_Overhead,Milian_PivotHeadSet
반발 수류탄 벨트,Milira Race,제작 가능,밀리라 범용 작업대,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_Apparel_RepulsiveGrenade
방사선 권총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milira_RayPistol
방사선 소총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milira_RayRifle
보호막 플로트 유닛팩,Milira Race,제작 가능,"밀리라 범용 작업대, 밀리라 드론 인쇄기",,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_FloatUnitPack_Shield
생체공학 밀리라 날개,Milira Race,제작 가능,밀리라 범용 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,Milira_BionicWing
소형 플로트 유닛팩,Milira Race,제작 가능,"밀리라 범용 작업대, 밀리라 드론 인쇄기",,궤도 상인 구매,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 레이저 부유 유닛 팩, 아이템 사용·개봉: 보호막 플로트 유닛팩, 아이템 사용·개봉: 비시노에 부유 유닛 팩, 아이템 사용·개봉: 아크 부유 유닛 팩",,Milira_Apparel_Utility,Milira_FloatUnitPack
수송 포드,Milira Race,,,,,,,,Milira_ActiveDropPod
쌍발 로터 추진기,Milira Race,제작 가능,밀리라 범용 작업대,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milian_Apparel_Utility,Milira_Booster
얼룩진 밀리라 깃털,Milira Race,,,,,"AlienRace.ThingDef_AlienRace: Milira_Race, PrefabDef: MI_Prefab_PirateBase",,Textiles,Milira_BloodStainedFeather
인공 밀리라 날개,Milira Race,제작 가능,"기계 작업대, 밀리라 범용 작업대",,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,Milira_ArtificialWing
입자 경기관총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ParticleLMG
입자 광선총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ParticleBeamGun
입자 기관단총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ParticleSMG
입자 확산 블래스터,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ParticleDiffusionBlaster
전자기 레일 소총,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_MagneticRailRifle
전투 드론: 4연장 로켓 발사기,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_QuadrupleRocketLauncher
전투 드론: 미니건,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_MiniGun
전투 드론: 산탄 입자,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_ScatterParticleBlaster
전투 드론: 장거리 입자,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_LongRangeParticleBlaster
전투 드론: 충격 입자,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_ParticleImpactBlaster
전투 플랫폼: 메카 제어 유닛,Milira Race,제작 가능,밀리라 드론 인쇄기,,,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_MechControlUnit
전투 플랫폼: 에너지 거품 보호막,Milira Race,제작 가능,밀리라 드론 인쇄기,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,"Milira_Apparel_CombatDrone, Milira_Apparel_Utility",Milira_CombatDrone_EnergyBubble
중력 수류탄 벨트,Milira Race,제작 가능,밀리라 범용 작업대,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_Apparel_AttractiveGrenade
집속형 저격소총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milira_ConvergentRaySniper
충격 입자 블래스터,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_ParticleBeamBlaster
태양 수정,Milira Race,,,,"궤도 상인 구매, 상인 구매, 설비 생산: 태양 수정 재배기, 적 장비 노획","MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Dawn, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Detector, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_RefractiveField, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_Ta",,Manufactured,Milira_SolarCrystal
태양 연료,Milira Race,제작 가능,"연료 정제기, 입자 구축기",,"궤도 상인 구매, 상인 구매, 설비 생산: 태양 에너지 변환 포집탑, 설비 생산: 태양 에너지 수집/레이저 포탑, 설비 생산: 태양 에너지 수집/방어 포탑","MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Dawn, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Skyfire, PLAMilira.SupplyArrowComboDef: PLAMilira_Supply_Combo_Fuel, PLAM",,Manufactured,Milira_SunLightFuel
태양 용광로 핵 모형,Milira Race,,,,"궤도 상인 구매, 상인 구매","MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, PrefabDef: PLAMilira_SuperCluster",,Manufactured,Milira_FurnaceCoreModel
태양꽃,Milira Race,,,,"궤도 상인 구매, 상인 구매, 설비 생산: 태양꽃 열매 재배기, 재배·채집","설비 기능: 태양꽃 열매 재배기, 식물: 태양꽃, 퀘스트·보상: MEXY_Guide_ParticleSunLightFuel",,PlantMatter,Milira_SunLightFruit
태양단강,Milira Race,제작 가능,"태양 용광로, 입자 구축기, 밀리라 중력 직조기",,"광맥 채굴, 궤도 상인 구매, 도축·분해, 상인 구매, 설비 생산: 불안정한 반응로, 제련, 파괴 시 잔해","MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Dawn, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Detector, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_Tactical",,ResourcesRaw,Milira_SunPlateSteel
태양단강 파편 덩어리,Milira Race,,,,파괴 시 잔해,"PrefabDef: MI_Prefab_ChurchSpaceBase, PrefabDef: MI_Prefab_CradolHabitat, 기타: 대 해리어 미사일, 설비 기능: ""별빛"" 미사일 발사기, 설비 기능: ""별자리"" 위상 교란기, 설비 기능: ""성가 오르간"" 전자기 저격포, 설비 기능: ""스피닝 바스타드"" 하이브 대공 미사일 포탑, 설비 기능: ""엘레우시스 밀교"" 중화력 보병 지원 플랫폼, 설비 기능: ""태풍"" 감마 레이저포, 설비 기능: ""템페스트"" 아크 방출기, 설비 기능: ""토네이도"" 이온 회전포, 설비 기능: ""혜성"" 플",,Chunks,Milira_ChunkSlag_SunPlateSteel
펄스 광선총,Milira Race,제작 가능,밀리라 범용 작업대,,적 장비 노획,,,WeaponsRanged,Milian_PulsedBeamGun
펄스 레이저 기관총,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_LaserMG
플라스마 기관단총,Milira Race,제작 가능,태양 용광로,,,,,WeaponsRanged,Milira_PlasmaSMG
플라즈마 권총,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_PlasmaPistol
플라즈마 소총,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_PlasmaRifle
플라즈마 점사 기관총,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_PlasmaMG
플라즈마 충격 수류탄 벨트,Milira Race,제작 가능,태양 용광로,,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,Milira_Apparel_PlasmaShockGrenade
플라즈마 캐논,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_PlasmaCannon
플라즈마 펄스 저격소총,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_PlasmaPulseSniperRifle
휴대용 레일건,Milira Race,제작 가능,태양 용광로,,적 장비 노획,,,WeaponsRanged,Milira_HandRailGun
AR/GL-21 12,Milira:Wings of Democracy,제작 가능,태양 용광로,,,,,WeaponsRanged,PLAMilira_OneTwo
